SubscriberKey,FirstName,LastName,Email,Email_Consent,LastOpenedDate,LastClickedDate,Status,MailingAddress
2022,Quinn,Chen,quinn.chen@fake.com,True,2025-04-28,2023-10-25,Inactive,"169 Emily Vista, Stonehaven, AK 30471"
2023,Alex,Martinez,alex.martinez@hotmail.com,True,2024-06-22,2025-04-01,Inactive,"8340 William Station Suite 058, Coffeyland, MD 53477"
2024,Taylor,Martinez,taylor.martinez@test.com,False,2025-06-11,,Inactive,"0621 Kyle Lane, Wangmouth, SC 80719"
2025,Quinn,Wilson,quinn.wilson@yahoo.com,True,,,Active,"35436 Griffith Park, Mcleanton, CO 74117"
2026,Casey,Nguyen,casey.nguyen@gmail.com,True,2024-05-06,2024-06-23,Active,"4272 Peters View, Ericberg, UT 12282"
2027,Morgan,Singh,morgan.singh@fake.com,False,,2025-04-16,Active,"3469 Jacob Ranch Apt. 136, Port Alexanderberg, ID 38219"
2028,Morgan,Nguyen,morgan.nguyen@test.com,False,2024-03-02,2025-03-10,Active,"533 Jennifer Harbors, Raymondland, GA 90012"
2029,Morgan,Garcia,morgan.garcia@hotmail.com,True,2023-10-17,,Inactive,"2475 Mark Cove Suite 877, East Kathryn, ND 12620"
2030,Jamie,Martinez,jamie.martinez@gmail.com,False,2025-05-11,,Active,"07618 Shari Brooks, Jonathanland, NM 20818"
2031,Taylor,Chen,taylor.chen@gmail.com,True,2025-02-21,,Inactive,"545 Michelle Centers Apt. 936, Bensonborough, NE 54925"
2032,Quinn,Lee,quinn.lee@test.com,True,2025-07-06,,Inactive,"172 Tyler Union, Davidland, CA 98446"
2033,Cameron,Wilson,cameron.wilson@fake.com,True,2023-12-04,,Inactive,"215 Calvin Road Suite 530, Lake David, TN 19305"
2034,Morgan,Singh,morgan.singh@hotmail.com,True,,2024-10-23,Active,"3438 Sarah Forge Apt. 210, East Jeremy, FL 15251"
2035,Jordan,Nguyen,jordan.nguyen@yahoo.com,False,,,Active,"8028 Angela Turnpike, South Teresa, NV 16474"
2036,Jordan,Garcia,jordan.garcia@gmail.com,False,2025-03-14,2023-11-27,Inactive,"8133 Michael Islands Suite 193, North Joshuahaven, NM 53680"
2037,Jordan,Garcia,jordan.garcia@gmail.com,True,,2023-11-06,Inactive,"452 Denise Court, Josephfurt, IL 66072"
2038,Cameron,Martinez,cameron.martinez@yahoo.com,True,2023-09-21,2024-03-29,Inactive,"9563 Thomas Canyon, South Whitney, TX 14586"
2039,Quinn,Patel,quinn.patel@test.com,False,,2024-12-16,Active,"171 Brad Lights, South Micheleburgh, MA 65297"
2040,Jamie,Lee,jamie.lee@yahoo.com,True,2024-02-19,,Inactive,"83558 Jones Park, West Nathan, CA 14048"
2041,Casey,Wilson,casey.wilson@gmail.com,False,2024-09-08,2025-06-07,Inactive,"589 Miller Estate, Ricefurt, IN 47435"
2042,Morgan,O'Connor,morgan.o'connor@gmail.com,True,2023-09-04,2023-10-04,Inactive,"624 Michael View Apt. 027, Lake James, SD 99373"
2043,Casey,Garcia,casey.garcia@example.com,True,2023-09-07,2025-06-05,Inactive,"27497 Jason Landing Suite 982, Lake Brianshire, AL 43601"
2044,Casey,Garcia,casey.garcia@yahoo.com,False,,2023-12-04,Inactive,"7884 Sonia Springs, Lake Markside, TN 52228"
2045,Alex,Martinez,alex.martinez@yahoo.com,False,2025-05-21,2025-06-28,Inactive,"066 Caitlyn Coves, Palmerside, TN 95478"
2046,Drew,Patel,drew.patel@test.com,False,2023-12-29,2023-10-18,Inactive,"847 Washington Passage, Wallacetown, AK 40356"
2047,Casey,Patel,casey.patel@gmail.com,False,2024-05-23,,Inactive,"5415 Jacobs Coves Apt. 706, Maryberg, OR 55279"
2048,Cameron,Lee,cameron.lee@fake.com,False,2023-08-23,2025-04-29,Inactive,"1887 Jack Brooks, South John, ID 07934"
2049,Morgan,Singh,morgan.singh@example.com,False,2025-03-16,2024-05-09,Inactive,"273 Richards Stravenue Suite 312, Natashafort, IA 67647"
2050,Riley,Nguyen,riley.nguyen@fake.com,True,2024-07-09,,Active,"525 Carlos Estates, Lake Kevin, GA 54695"
